team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Trinbago Knight Riders,St Lucia Kings,70.0,50.0,60.0,4,4,80.0,60.0,165.6,154.8,6.0,5.0,142.0,52.5,Trinbago Knight Riders,Bowl,33.0,62.0,42.0,Brian Lara Stadium,Balanced,1
Guyana Amazon Warriors,Barbados Tridents,70.0,20.0,60.0,3,2,70.0,20.0,138.8,143.8,6.2,6.2,150.0,54.38596491228071,Barbados Tridents,Bowl,26.4,88.0,25.0,Providence Stadium,Balanced,0
Trinbago Knight Riders,Barbados Tridents,70.0,20.0,60.0,3,2,80.0,30.0,155.4,147.0,6.8,6.6,144.0,51.21951219512195,Barbados Tridents,Bowl,26.2,90.0,64.0,Brian Lara Stadium,Balanced,0
Guyana Amazon Warriors,St Lucia Kings,70.0,50.0,80.0,3,5,70.0,40.0,162.4,161.0,7.0,5.0,151.0,53.44827586206896,Guyana Amazon Warriors,Bat,32.8,62.0,7.0,Providence Stadium,Balanced,0
Guyana Amazon Warriors,Trinbago Knight Riders,70.0,70.0,60.0,4,3,70.0,50.0,169.2,158.6,7.4,6.6,152.0,52.54237288135594,Trinbago Knight Riders,Bat,27.6,88.0,70.0,Providence Stadium,Balanced,1
Trinbago Knight Riders,Barbados Tridents,70.0,20.0,80.0,3,1,50.0,20.0,171.0,135.0,6.6,7.2,153.0,51.66666666666667,Trinbago Knight Riders,Bat,26.3,94.0,25.0,Providence Stadium,Balanced,1
Guyana Amazon Warriors,St Lucia Kings,70.0,50.0,80.0,4,4,70.0,40.0,167.0,160.2,8.0,5.4,153.0,51.66666666666667,St Lucia Kings,Bat,27.8,87.0,40.0,Providence Stadium,Balanced,1
Guyana Amazon Warriors,Barbados Tridents,70.0,20.0,60.0,3,1,70.0,20.0,160.8,125.2,7.2,7.2,153.0,51.66666666666667,Guyana Amazon Warriors,Bowl,25.3,10.0,10.0,Providence Stadium,Balanced,0
St Lucia Kings,Guyana Amazon Warriors,50.0,70.0,20.0,4,3,40.0,70.0,169.4,163.6,4.8,6.2,153.0,52.459016393442624,St Lucia Kings,Bowl,26.5,94.0,55.0,Providence Stadium,Balanced,1
St Lucia Kings,Jamaica Tallawahs,50.0,40.0,20.0,3,3,60.0,66.66666666666666,161.2,163.6,7.4,6.2,160.0,58.333333333333336,St Lucia Kings,Bowl,28.3,84.0,25.0,Daren Sammy National Stadium,Balanced,1
St Lucia Kings,Barbados Tridents,50.0,20.0,0.0,2,3,60.0,70.0,164.2,148.8,7.2,6.2,161.0,59.45945945945946,St Lucia Kings,Bat,27.7,87.0,49.0,Daren Sammy National Stadium,Balanced,0
Trinbago Knight Riders,St Kitts  Nevis Patriots,70.0,40.0,40.0,2,2,75.0,33.33333333333333,141.4,127.2,7.4,7.6,162.0,57.89473684210527,St Kitts  Nevis Patriots,Bowl,29.7,85.0,86.0,Daren Sammy National Stadium,Balanced,1
St Lucia Kings,Guyana Amazon Warriors,50.0,70.0,20.0,2,3,60.0,44.44444444444444,166.6,158.2,7.0,6.6,158.0,58.97435897435898,St Lucia Kings,Bowl,26.5,93.0,73.0,Daren Sammy National Stadium,Balanced,1
Jamaica Tallawahs,Barbados Tridents,40.0,20.0,40.0,4,2,66.66666666666666,70.0,177.8,156.8,6.8,7.0,156.0,60.0,Jamaica Tallawahs,,27.2,87.0,10.0,Daren Sammy National Stadium,Balanced,0
St Kitts  Nevis Patriots,St Lucia Kings,50.0,40.0,20.0,2,2,60.0,33.33333333333333,175.4,161.6,7.0,6.0,156.0,60.97560975609756,St Kitts  Nevis Patriots,,27.8,90.0,10.0,Daren Sammy National Stadium,Balanced,0
St Kitts  Nevis Patriots,Jamaica Tallawahs,40.0,40.0,20.0,2,4,20.0,50.0,127.2,177.8,7.6,6.8,160.0,56.25,St Kitts  Nevis Patriots,Bowl,27.9,79.0,4.0,Warner Park,Balanced,1
St Kitts  Nevis Patriots,Guyana Amazon Warriors,40.0,70.0,80.0,2,3,20.0,70.0,138.4,158.2,7.4,6.6,160.0,56.79012345679012,St Kitts  Nevis Patriots,Bowl,27.2,87.0,25.0,Warner Park,Balanced,1
Trinbago Knight Riders,St Lucia Kings,50.0,70.0,40.0,2,2,50.0,70.0,175.2,149.8,7.0,6.6,160.0,57.3170731707317,Trinbago Knight Riders,Bowl,31.1,70.0,10.0,Warner Park,Balanced,1
